Reg_I, CI_Pacific, Lusitanian, Mediterranean, NE_Pacific, N_European_Seas, NW_Atlantic, NW_Pacific, SE_Atlantic, SE_Pacific, SW_Atlantic, Temperate_Australasia, Tropical_E_Atlantic, Tropical_E_Pacific, Tropical_W_Atlantic, WI_Pacific
CI_Pacific, 0.254, 0.002, 0.296, 0.018, 0, 0.107, 0.147, 0.072, 0, 0.044, 0.072, 0.051, 0.124, 0.289, 0.609
Lusitanian, 0.001, 0.008, 0.055, 0.002, 0.004, 0.021, 0.012, 0.047, 0, 0.031, 0.002, 0.001, 0, 0.001, 0.002
Mediterranean, 0.27, 0.063, 0.306, 0.05, 0.011, 0.227, 0.491, 0.033, 0, 0.126, 0.056, 0.009, 0.003, 0.016, 0.045
NE_Pacific, 0.017, 0.003, 0.036, 0.031, 0.055, 0.023, 0.399, 0.002, 0.001, 0.006, 0.012, 0, 0.007, 0.007, 0.004
N_European_Seas, 0, 0.004, 0.011, 0.062, 0.13, 0.241, 0.059, 0.008, 0.001, 0.043, 0.013, 0, 0, 0, 0 
NW_Atlantic, 0.099, 0.017, 0.248, 0.033, 0.216, 0.008, 0.154, 0.043, 0.001, 0.125, 0.026, 0.019, 0.013, 0.143, 0.085
NW_Pacific, 0.159, 0.024, 0.537, 0.39, 0.061, 0.16, 0.064, 0.073, 0.001, 0.056, 0.18, 0.002, 0.024, 0.052, 0.212
SE_Atlantic, 0.079, 0.049, 0.036, 0.002, 0.009, 0.055, 0.08, 0, 0, 0.023, 0.012, 0.017, 0.002, 0.006, 0.045 
SE_Pacific, 0, 0.001, 0, 0.001, 0.002, 0, 0.004, 0, 0, 0, 0, 0, 0, 0, 0 
SW_Atlantic, 0.042, 0.032, 0.113, 0.003, 0.04, 0.126, 0.056, 0.028, 0, 0.001, 0.002, 0.007, 0.002, 0.036, 0.008
Temperate_Australasia, 0.073, 0.002, 0.046, 0.012, 0.01, 0.021, 0.21, 0.004, 0, 0.001, 0.025, 0, 0.002, 0.008, 0.024
Tropical_E_Atlantic, 0.036, 0.001, 0.007, 0, 0, 0.014, 0.001, 0.015, 0, 0.008, 0, 0.006, 0.001, 0.014, 0.021
Tropical_E_Pacific, 0.094, 0, 0.004, 0.006, 0, 0.013, 0.017, 0.001, 0, 0.002, 0.002, 0.002, 0.005, 0.019, 0.008
Tropical_W_Atlantic, 0.289, 0.001, 0.021, 0.004, 0, 0.147, 0.045, 0.007, 0, 0.029, 0.011, 0.013, 0.017, 0.167, 0.049
WI_Pacific, 0.563, 0.006, 0.062, 0.007, 0, 0.098, 0.154, 0.055, 0, 0.007, 0.017, 0.024, 0.009, 0.048, 0.129
