scientific_name,accepted_name,nis_status,native_range,introduced_range,sources
Alitta succinea,,Concern,NE Atlantic; NW Atlantic,NE Pacific; NW Atlantic; SW Atlantic; NW Pacific; Caspian; W Indian; SW Pacific,NEMESIS
Amphibalanus amphitrite,,Invasive,W Indian; NW Pacific,SE Pacific; NE Pacific; NW Atlantic; NE Atlantic; Mediterranean; South,NEMESIS
Amphibalanus eburneus,,Invasive,NW Atlantic; SW Atlantic,NE Atlantic; E Indian; W Indian; NW Pacific; NE Pacific; Mediterranean; Black Sea; Caspian,NEMESIS
Amphibalanus improvisus,,Invasive,NW Atlantic,NE Pacific; NW Pacific; NE Atlantic; Mediterranean; Black; Caspian,NEMESIS
Arcuatula senhousia,,Invasive,NW Pacific,NE Pacific; NE Atlantic; E Indian; W Indian; Mediterranean; SW Pacific; South,CABI
Ascidiella aspersa,,Invasive,NE Atlantic; Mediterranean,NW Atlantic; E Indian; W Indian; SW Pacific,CABI
Asterias amurensis,,Concern,NW Pacific,SW Pacific; South; E Indian,CABI
Asterias rubens,,Concern,NE Atlantic; NW Atlantic; Arctic,Black,WoRMS
Austrominius modestus,,Invasive,SW Pacific; South; E Indian,NE Atlantic; Mediterranean,NEMESIS
Balanus trigonus,,Concern,SW Pacific; NW Pacific; SE Pacific; NE Pacific; E Indian; W Indian,NE Atlantic; SE Atlantic; NW Atlantic; SW Atlantic; Mediterranean,NEMESIS
Botryllus schlosseri,,Invasive,,NW Atlantic; NE Atlantic; SE Atlantic; NE Pacific; NW Pacific; SW Pacific; SE Pacific; W Indian; E Indian; South; Mediterranean,NEMESIS
Bougainvillia muscus,,Concern,NW Atlantic; NE Atlantic; Mediterranean,Black; SW Pacific; South; E Indian; SW Atlantic; NE Pacific,WoRMS
Brachidontes pharaonis,,Invasive,E Indian,Mediterranean; NW Pacific; Black; SW Pacific; SE Atlantic,CABI
Bugula neritina,,Invasive,,NE Atlantic; NW Atlantic; SE Atlantic; SW Atlantic; NE Pacific; NW Pacific; SW Pacific; SE Pacific; E Indian; W Indian; Mediterranean; Baltic; Black; Caspian; South,CABI
Bugulina stolonifera,,Concern,NW Atlantic,NE Atlantic; SE Atlantic; NE Pacific; SW Pacific; SE Pacific; South; SW Atlantic; NW Pacific; E Indian; W Indian; Mediterranean,NEMESIS
