Paper ID,rank,scientific_name,material,site,note
80,Class,Alphaproteobacteria,plastic,,
80,Genus,Aquibacter,plastic,,
80,Genus,Congregibacter,plastic,,
80,Order,Cytophagia,plastic,,
80,Genus,Dokdonia,plastic,,
80,Class,Epsilonproteobacteria,plastic,,
80,Genus,Erythrobacter,plastic,,
80,Genus,Erythrobacter,plastic,,
80,Order,Flavobacteria,plastic,,
80,Genus,Flexithrix,plastic,,
80,Genus,Flexithrix,plastic,,
80,Class,Gammaproteobacteria,plastic,,
80,Genus,Hirschia,plastic,,
80,Genus,Hirschia,plastic,,
80,Genus,Labrenzia,plastic,,
80,Genus,Maricaulis,plastic,,
80,Family,Nannocystaceae,plastic,,
80,Genus,Oceanococcus,plastic,,
80,Family,Parvularcula,plastic,,
80,Family,Phyllobacteriaceae,plastic,,
80,Family,Phyllobacteriaceae,plastic,,
80,Genus,Polycyclovorans,plastic,,
80,Genus,Roseovarius,plastic,,
80,Family,Saprospiraceae,plastic,,
80,Genus,Simiduia,plastic,,
80,Genus,Spongiibacter,plastic,,
80,Genus,Ulvibacter,plastic,,
80,Genus,Winogradskyella,plastic,,
80,Genus,Winogradskyella,plastic,,
81,Genus,Acinetobacter,plastic,,
81,Genus,Albimonas,plastic,,
81,Genus,Arcobacter,plastic,,
81,Genus,Bacteroides,plastic,,
81,Genus,Brachymonas,plastic,,
81,Genus,Brevundimonas,plastic,,
81,Genus,Caenispirillum ,plastic,,
81,Genus,Clostridium,plastic,,
81,Genus,Cohaesibacter,plastic,,
81,Genus,Cohaesibacter,plastic,,
81,Genus,Desulfopila,plastic,,
81,Genus,Draconibacterium,plastic,,
81,Genus,Eilatimonas,plastic,,
81,Genus,Erythrobacter,plastic,,
81,Family,Erythrobacteraceae,plastic,,
81,Genus,Fusibacter,plastic,,
81,Genus,Hyphomonas,plastic,,
81,Genus,Hyphomonas,plastic,,
81,Genus,Insolitispirillum,plastic,,
81,Genus,Marinobacterium,plastic,,
81,Genus,Martelella,plastic,,
81,Genus,Nevskia,plastic,,
81,Genus,Novosphingobium,plastic,,
81,Genus,Oceanicaulis,plastic,,
81,Species,Photobacterium rosenbergii,plastic,,
81,Genus,Pleomorphomonas,plastic,,
81,Genus,Ponticaulis,plastic,,
81,Genus,Pseudomonas,plastic,,
81,Species,Pseudomonas alcaligenes,plastic,,
81,Species,Pseudomonas azotoformans,plastic,,
81,Species,Pseudomonas hussainii,plastic,,
81,Species,Pseudomonas pachastrellae,plastic,,
81,Species,Pseudomonas veronii,plastic,,
81,Genus,Rhizobium,plastic,,
81,Family,Rhodobacteraceae,plastic,,
81,Family,Rhodospirillaceae,plastic,,
81,Genus,Rhodovulum,plastic,,
81,Genus,Sphingobium,plastic,,
81,Genus,Spongiibacter,plastic,,
81,Genus,Thalassococcus,plastic,,
81,Genus,Thioclava,plastic,,
81,Genus,Vibrio,plastic,,
81,Species,Vibrio fluvialis,plastic,,
81,Genus,Xyella,plastic,,
82,Species,Tsunamia transpacifica,"plastic, glass",,
82,Species,Viator vitreocola,glass,,
83,Class,Bivalvia,plastic,,
83,Phylum,Bryozoa,plastic,,
83,Class,Hydrozoa,plastic,,
83,Phylum,Tunicata,plastic,,
85,Species,Amphianthus dohrnii,gear,,long line
85,Species,Desmophyllum dianthus,gear,,net
85,Genus,Epizoanthus,gear,,long line
85,Species,Madrepora oculata,gear,,long line
86,Species,Amphibalanus amphitrite,"gear, plastic",,
86,Species,Austrominius modestus,"gear, plastic",,
86,Species,Chthamalus stellatus,"gear, plastic",,
86,Species,Eumida bahusiensis,"gear, plastic",,
86,Species,Lepas anatifera,"gear, plastic",,
86,Species,Lepas pectinata,"gear, plastic",,
86,Species,Magallana gigas,"gear, plastic",,
86,Species,Mytilus edulis,"gear, plastic",,
86,Species,Mytilus galloprovincialis,"gear, plastic",,
86,Species,Mytilus trossulus,"gear, plastic",,
86,Species,Neoacasta laevigata,"gear, plastic",,
86,Species,Neodexiospira alveolata,"gear, plastic",,
86,Species,Pachygrapsus marmoratus,"gear, plastic",,
86,Species,Paragorgia arborea,"gear, plastic",,
86,Species,Perforatus perforatus,"gear, plastic",,
86,Species,Polybius henslowii,"gear, plastic",,
86,Species,Tritia reticulata,"gear, plastic",,
87,Species,Austrominius modestus,plastic,,
87,Genus,Balanidae,plastic,,
87,Species,Bougainvillia muscus,plastic,,
87,Species,Caprella andreae,plastic,,
87,Species,Chthamalus montagui,plastic,,
87,Species,Chthamalus stellatus,plastic,,
87,Species,Crassostrea gigas,plastic,,
87,Species,Dosima fascicularis,plastic,,
87,Species,Gibbula umbilicalis,plastic,,
87,Species,Helix aspersa,plastic,,
87,Species,Lepas anatifera,"foam, plastic, gear, other",,
87,Species,Lepas anserifera,"foam, plastic, gear, other",,
87,Species,Lepas pectinata,"foam, plastic, gear, other",,
87,Genus,Mytilus,plastic,,
87,Species,Mytilus edulis,plastic,,
87,Species,Mytilus galloprovincialis,plastic,,
87,Genus,Neodexiospira,plastic,,
87,Species,Obelia dichotoma,plastic,,
87,Species,Ostrea stentina,plastic,,
87,Species,Serpula columbiana,plastic,,
87,Genus,Spirobranchus,plastic,,
87,Species,Spirobranchus taeniatus,plastic,,
87,Species,Spirobranchus triqueter,plastic,,
87,Species,Verruca stroemia,plastic,,
88,Species,Arbopercula angulata,plastic,,
88,Species,Arbopercula tenella,plastic,,
88,Species,Lepas anserifera,plastic,,
