Paper ID,DOI,Title,Authorship,Year Pub,Hem,Region,Body,Environ,Collection,Type,Size,Paper Notes
80,10.1371/journal.pone.0215859,The Plastisphere – Uncovering tightly attached plastic “specific” microorganisms,Kirstein et al.,2019,N,Temp,Atl,Floating,Sample collection,C. Field,Macro,Distinct differences in both short and long term communities on different substrate types. All artificial substrates had different communities than found on glass. This is supposed to arise from the use of pressure washing to select for tightly attached organisms prior to culturing the community that would later be sequenced.
81,10.1016/j.scitotenv.2018.11.250,Profiles of bacterial assemblages from microplastics of tropical coastal environments,Curren & Leong,2019,S,Trop,Ind,Beach,Transect,Obs,Micro,"Communities on fragments and foams were very different from one another and from the group including films, fibres, and pellets. Numerous spp were found in only one site, despite sites being spatially very close to one another and diverse in and of themselves. Microplastic abundance correlated positively with human use of the beach."
82,10.4490/algae.2019.34.5.20,"Viator vitreocola gen. et sp. nov. (Stylonematophyceae), a new red alga on drift glass debris in Oregon and Washington, USA",Hansen et al.,2019,N,Temp,Pac,Beach,Opportunistic,Taxon,Macro,New genera and species of red algae identified from glass and white plastic.  Another new species was identified from glass only.
83,10.1016/j.marpolbul.2019.01.017,A harmonized and coordinated assessment of the abundance and composition of seafloor litter in the Adriatic-Ionian macroregion (Mediterranean Sea),Fortibuoni et al.,2019,N,Temp,Med,Benthic,Visual transect; Trawl,Obs,Macro,Focussed on debris types and abundaces on the seafloor in the Adriatic portion of the Mediterranean.  Used scuba divers and benthic trawls to collected over 120 transects of data.  Mention of fouling/substrate use is restricted to one sentence in results section and brief mention of fouling as a cause of sinking in the introduction.
85,10.1038/s41598-019-39655-8,A unique and threatened deep water coral-bivalve biotope new to the Mediterranean Sea offshore the Naples megalopolis,Taviana et al.,2019,N,Temp,Med,Benthic [Deep],Trawl [Video]; Opportunistic,Obs,Macro,"Organisms seen attached to debris (long line) during ROV expedition to observe deep sea cold water coral communities.  They were grabbed and sampled for later lab identification according to protocol for the taxonomic group.  No organisms were metioned or seen in included photographs of non-fishing related items, a mattress and plastic bags.  Identifications were included in the same sentences as non-debris attached organisms and in photo captions."
86,10.1016/J.JNC.2018.01.005,Alert calling in port areas: Marine litter as possible secondary dispersal vector for hitchhiking invasive species,Miralles et al.,2018,N,Temp,Med,Beach,Transect,Obs,Macro,"Presence of metazoans on debris varied between 0 and 25% regionally with an average presence of 1.03% overall.  For all types of adhered organisms, the overall presence was 1.7%.  No difference in organisms was found between plastic bottles and ALDFG (study items). 127 ind. were found, 121 living and 6 dead, from 17 spp.  Identity was determined genetically for living orgs. 8/17 were NIS."
87,10.1371/journal.pone.0191859,Anthropogenic marine litter composition in coastal areas may be a predictor of potentially invasive rafting fauna,Rech et al.,2018,N,Temp,Med,Beach,Transect,Obs,Macro,"Over 90% of plastics in general were fouled, whereas non-plastics were fouled at a rate of about 6%.  Hard plastics had a higher diversity of attached organisms, whereas foams were dominated by goose barnacles.  Overall more than 3300 organisms (or colonies) were found attached to beach debris.  Barnacles (particularly goose) and the rafting adapted amphipod Caprella andreae were by far the most common.  Because most organisms were dead and/or decayed, only 2 cnidarians were idenfitied by genetic techniques.  Lepas positively correlated with motile rafters, negatively correlated with sessile."
88,10.1016/j.marpolbul.2018.01.017,"Beach litter and woody-debris colonizers on the Atlantico department Caribbean coastline, Colombia","Gracia, Rangel-Buitrago, & Flórez",2018,N,Trop,Atl,Beach,Transect,Obs,Macro,"Land based sources were most prevalent with little fishing related debris likely due to the economic dominance of resorts and tourism in the area.  This debris ended up primarily in rural and remote locations due to prevailing oceanographic patterns. Looked only broadly at colonising organisms on wood and amd to find presence of three groups: polychaetes, bryozoans, and barnacles.  ID only the most obvious."
89,10.1016/j.scitotenv.2018.02.245,Below the surface: Twenty-five years of seafloor litter monitoring in coastal seas of North West Europe (1992–2017),Maes et al.,2018,N,Temp,North,Benthic [Deep],Trawl,Obs,Macro,"Lower concentrations of deep sea benthic litter in enclosed North and Celtic seas than in Atlantic canyons and deeper water.  Concentrations did not change over time, but a decrease in plastic bags was observed over the study period 1994 - 2016.  Organisms mentioned as many of the objects obtained had been fouled and were used as habitat, however organisms were not named below class/phylum."
90,10.1016/j.jhazmat.2019.04.078,Biodegradation of mixture of plastic films by tailored marine consortia,Syranidou et al.,2019,N,Temp,Med,Beach,Opportunistic,C. Lab,Macro,Observed changes in microbial communities over time in lab conditions and associated weight loss due to microbial degradation in plastic fragments.  They also attempted to augment indigenous microbial communities with known hydrocarbon metabolising organisms to no notable success.  There was a significant change in the communities over time and all of the fragments were degraded by microbes.
93,10.3389/fmicb.2018.01571,Colonization of non-biodegradable and biodegradable plastics by marine microorganisms,Dussud et al.,2018,N,Temp,Med,Floating,Sample collection,C. Lab,Macro,"Again showed that the community on plastics, in this case PE, polyester of biological origin, and aged and unaged OXO, differed significantly from that of seawater.  It also showed that the productivity of commuinities on that plastic had a definitive pattern separated from the random pattern found in seawater.  Communities went through three distinct phases, also previously shown, of biofilm formation (creating surface for others to attach to), diverse secondary community, and the establishment of a third, stable and less diverse community.  Experiment was done in shallow pools of continuously refreshed natural seawater in the dark."
94,10.1016/J.MARPOLBUL.2018.09.033,Composition and abundance of benthic marine litter in a coastal area of the central Mediterranean Sea,Consoli et al.,2018,N,Temp,Med,Benthic,Trawl [Video],Obs,Macro,"Only 15% of items were ""highly fouled"" (>50% cover).  However, ROV imagery shown in the paper indicated that the photographed items would have been tough to notice due to the high cover of epibionts.  While two broad taxa were mentioned, the paper's phrasing suggested many more were seen."
95,10.1371/journal.pone.0206220,Deep-sea anthropogenic macrodebris harbours rich and diverse communities of bacteria and archaea,Woodall et al.,2018,N,Temp,Atl,Benthic,Trawl [Video],Obs,Macro,"Small number of samples  from wide spatial area so inter-material comparison is useless, though they copy-pasted some scripts and did it.  All materials were found with a diverse biofilm community different than the surrounding sediment. No macrofouling was noted.  Again, proteobacteria were dominant. Metal community was most distinct and least diverse.  Comparison to sediment was made, but not adjusted for in analyses."
