"","place_type","place_name","nis_place","gazetteer_source","spatial_group","i_paper_id","site","lat","long","group_lat","group_long"
"1","SeaVoX SeaArea - sub-region","Arctic Ocean","Arctic","The SeaVoX Salt and Fresh Water Body Gazetteer","80-4",214,"2",79.58115,-4.603,79.319575,-4.3595
"2","SeaVoX SeaArea - sub-region","Arctic Ocean","Arctic","The SeaVoX Salt and Fresh Water Body Gazetteer","80-4",214,"1",79.058,-4.116,79.319575,-4.3595
"3","Strait","Bornholm Strait","Baltic","ASFA thesaurus","5516",216,"1",54.328,15.08,54.641652173913,15.8155217391304
"4","Strait","Bornholm Strait","Baltic","ASFA thesaurus","5516",216,"2",54.435,15.149,54.641652173913,15.8155217391304
"5","Strait","Bornholm Strait","Baltic","ASFA thesaurus","5516",216,"17",54.766,15.289,54.641652173913,15.8155217391304
"6","Strait","Bornholm Strait","Baltic","ASFA thesaurus","5516",216,"9",54.564,15.428,54.641652173913,15.8155217391304
"7","Strait","Bornholm Strait","Baltic","ASFA thesaurus","5516",216,"3",54.387,15.568,54.641652173913,15.8155217391304
"8","Strait","Bornholm Strait","Baltic","ASFA thesaurus","5516",216,"6",54.457,15.618,54.641652173913,15.8155217391304
"9","Strait","Bornholm Strait","Baltic","ASFA thesaurus","5516",216,"4",54.387,15.787,54.641652173913,15.8155217391304
"10","Strait","Bornholm Strait","Baltic","ASFA thesaurus","5516",216,"7",54.468,15.787,54.641652173913,15.8155217391304
"11","Strait","Bornholm Strait","Baltic","ASFA thesaurus","5516",216,"5",54.442,16.096,54.641652173913,15.8155217391304
"12","Strait","Bornholm Strait","Baltic","ASFA thesaurus","5516",216,"13",54.656,15.588,54.641652173913,15.8155217391304
"13","Strait","Bornholm Strait","Baltic","ASFA thesaurus","5516",216,"14",54.689,15.647,54.641652173913,15.8155217391304
"14","Strait","Bornholm Strait","Baltic","ASFA thesaurus","5516",216,"15",54.711,15.787,54.641652173913,15.8155217391304
"15","Strait","Bornholm Strait","Baltic","ASFA thesaurus","5516",216,"10",54.571,15.827,54.641652173913,15.8155217391304
"16","Strait","Bornholm Strait","Baltic","ASFA thesaurus","5516",216,"19",54.902,15.857,54.641652173913,15.8155217391304
"17","Strait","Bornholm Strait","Baltic","ASFA thesaurus","5516",216,"11",54.645,15.936,54.641652173913,15.8155217391304
"18","Strait","Bornholm Strait","Baltic","ASFA thesaurus","5516",216,"16",54.729,15.936,54.641652173913,15.8155217391304
"19","Strait","Bornholm Strait","Baltic","ASFA thesaurus","5516",216,"8",54.53,15.996,54.641652173913,15.8155217391304
"20","Strait","Bornholm Strait","Baltic","ASFA thesaurus","5516",216,"18",54.818,16.036,54.641652173913,15.8155217391304
"21","Strait","Bornholm Strait","Baltic","ASFA thesaurus","5516",216,"12",54.626,16.076,54.641652173913,15.8155217391304
"22","Strait","Bornholm Strait","Baltic","ASFA thesaurus","5516",216,"20",54.936,16.225,54.641652173913,15.8155217391304
"23","Strait","Bornholm Strait","Baltic","ASFA thesaurus","5516",216,"21",55.006,16.285,54.641652173913,15.8155217391304
"24","Strait","Bornholm Strait","Baltic","ASFA thesaurus","5516",216,"22",55.053,16.365,54.641652173913,15.8155217391304
"25","Strait","Bornholm Strait","Baltic","ASFA thesaurus","5516",216,"23",54.652,16.394,54.641652173913,15.8155217391304
"26","SeaVoX SeaArea - sub-region","Central Baltic Sea","Baltic","The SeaVoX Salt and Fresh Water Body Gazetteer","5619",216,"35",55.495,17.799,55.218,18.2327142857143
"27","SeaVoX SeaArea - sub-region","Central Baltic Sea","Baltic","The SeaVoX Salt and Fresh Water Body Gazetteer","5619",216,"38",54.902,18.157,55.218,18.2327142857143
"28","SeaVoX SeaArea - sub-region","Central Baltic Sea","Baltic","The SeaVoX Salt and Fresh Water Body Gazetteer","5619",216,"44",54.906,18.177,55.218,18.2327142857143
"29","SeaVoX SeaArea - sub-region","Central Baltic Sea","Baltic","The SeaVoX Salt and Fresh Water Body Gazetteer","5619",216,"39",55.042,18.307,55.218,18.2327142857143
"30","SeaVoX SeaArea - sub-region","Central Baltic Sea","Baltic","The SeaVoX Salt and Fresh Water Body Gazetteer","5619",216,"40",55.006,18.466,55.218,18.2327142857143
"31","SeaVoX SeaArea - sub-region","Central Baltic Sea","Baltic","The SeaVoX Salt and Fresh Water Body Gazetteer","5619",216,"36",55.54,18.187,55.218,18.2327142857143
"32","SeaVoX SeaArea - sub-region","Central Baltic Sea","Baltic","The SeaVoX Salt and Fresh Water Body Gazetteer","5619",216,"37",55.635,18.536,55.218,18.2327142857143
"33","Basin","Gotland Basin","Baltic","IHO-IOC GEBCO Gazetteer of Undersea Feature Names","6019",187,"1",59.384,18.181,59.384,18.181
"34","Gulf","Gulf of Gdansk","Baltic","ASFA thesaurus","5519",216,"46",54.807,18.546,54.752,18.9283076923077
"35","Gulf","Gulf of Gdansk","Baltic","ASFA thesaurus","5519",216,"41",54.983,18.546,54.752,18.9283076923077
"36","Gulf","Gulf of Gdansk","Baltic","ASFA thesaurus","5519",216,"45",54.855,18.606,54.752,18.9283076923077
"37","Gulf","Gulf of Gdansk","Baltic","ASFA thesaurus","5519",216,"47",54.77,18.685,54.752,18.9283076923077
"38","Gulf","Gulf of Gdansk","Baltic","ASFA thesaurus","5519",216,"49",54.696,18.785,54.752,18.9283076923077
"39","Gulf","Gulf of Gdansk","Baltic","ASFA thesaurus","5519",216,"42",54.976,18.815,54.752,18.9283076923077
"40","Gulf","Gulf of Gdansk","Baltic","ASFA thesaurus","5519",216,"50",54.689,18.835,54.752,18.9283076923077
