Paper ID,Type,Limit,Site,Lat,Long,Certainty
220,Point,,1,"-54.010002,",-38.034,3
200,Point,,1,"45.373751,",12.455,3
182,Point,,1,36.5,120.417,1
182,Point,,2,35.95,120.26,1
182,Point,,3,22.73,115.167,1
214,Point,,2,79.58115,-4.603,1
196,Point,,3,79.574,5.045,2
214,Point,,1,79.058,-4.116,1
196,Point,,2,79.003,4.551,2
148,Point,,3,78.973,11.453,3
126,Point,,6,78.895,10.464,1
126,Point,,5,78.82,10.535,1
126,Point,,4,78.732,10.621,1
126,Point,,3,78.616,10.86,1
196,Point,,1,78.614,4.955,2
126,Point,,2,78.514,10.994,1
126,Point,,1,78.434,11.365,1
148,Point,,10,63.916,-22.727,3
148,Point,,11,63.412,-20.29,3
148,Point,,12,62.199,-7.244,3
89,Point,,3,61.3,0.505,1
89,Point,,2,61.246,-0.326,1
89,Point,,4,61.246,1.244,1
89,Point,,5,61.083,2.537,1
89,Point,,1,61.028,-1.064,1
89,Point,,8,60.457,1.244,1
89,Point,,7,60.376,0.505,1
148,Point,,9,60.354,-1.116,3
89,Point,,9,60.321,2.075,1
89,Point,,10,60.212,3.091,1
89,Point,,6,60.076,-0.464,1
999,Point,,BF-76,60,-149.9,1
187,Point,,1,59.384,18.181,1
89,Point,,15,59.342,1.706,1
89,Point,,16,59.342,2.121,1
89,Point,,12,59.288,-1.295,1
89,Point,,13,59.233,-0.418,1
89,Point,,17,59.233,3.46,1
89,Point,,14,59.179,0.967,1
89,Point,,11,59.152,-2.08,1
179,Point,,5,58.903,11.147,1
179,Point,,6,58.885,11.139,1
179,Point,,4,58.878,11.141,1
179,Point,,1,58.877,11.145,1
179,Point,,7,58.877,11.127,1
179,Point,,2,58.875,11.144,1
179,Point,,8,58.875,11.146,1
179,Point,,3,58.874,11.146,1
89,Point,,27,58.526,3.784,1
89,Point,,22,58.472,0.69,1
89,Point,,18,58.444,-2.542,1
89,Point,,23,58.281,1.383,1
89,Point,,26,58.281,2.583,1
89,Point,,21,58.227,-0.603,1
89,Point,,19,58.064,-1.341,1
89,Point,,20,57.982,-0.372,1
223,Point,,30,57.819,10.935,1
89,Point,,25,57.792,1.475,1
89,Point,,30,57.792,5.354,1
223,Point,,29,57.768,9.82,1
89,Point,,28,57.764,3.414,1
89,Point,,29,57.737,4.707,1
89,Point,,24,57.52,0.321,1
999,Point,,BF-187,57.4,-134.8,1
89,Point,,39,57.329,2.491,1
223,Point,,28,57.293,8.392,1
89,Point,,36,57.139,1.521,1
