rank,scientific_name,database,db_id,kingdom,phylum,class,order,family,genus,species,raw_name
Phylum,Acidobacteria,itis,956098,Bacteria,Acidobacteria,,,,,,Acidobacteria
Order,Holophagales,itis,956233,Bacteria,Acidobacteria,Holophagae,Holophagales,,,,Holophagales
Genus,Pseudonocardia,worms,559769,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Pseudonocardiaceae,Pseudonocardia,,Pseudonocardia
Genus,Arthrobacter,worms,392700,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Micrococcaceae,Arthrobacter,,Arthrobacter
Genus,Bifidobacterium,worms,559796,Bacteria,Actinobacteria,Actinobacteria,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium,,Bifidobacterium
Family,Microbacteriaceae,worms,393617,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Microbacteriaceae,,,Microbacteriaceae
Family,Mycobacteriaceae,worms,178087,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Mycobacteriaceae,,,Mycobacteriaceae
Genus,Mycobacterium,worms,178089,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Mycobacteriaceae,Mycobacterium,,Mycobacterium
Family,Nocardiaceae,worms,178070,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Nocardiaceae,,,Nocardiaceae
Family,Nocardioidaceae,worms,559753,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Nocardioidaceae,,,Nocardioidaceae
Order,Actinomycetales,itis,465,Bacteria,Actinobacteria,,Actinomycetales,,,,Actinomycetales
Phylum,Actinobacteria,itis,956099,Bacteria,Actinobacteria,,,,,,Actinobacteria
Order,Acidimicrobiales,itis,956185,Bacteria,Actinobacteria,Actinobacteria,Acidimicrobiales,,,,Acidimicrobiales
Unknown,Acrocirrus,worms,129138,Animalia,Annelida,Polychaeta,Terebellida,Acrocirridae,Acrocirrus,,Acrocirrus
Species,Aglaophamus paucilamellata,worms,326247,Animalia,Annelida,Polychaeta,Phyllodocida,Nephtyidae,Aglaophamus,Aglaophamus paucilamellata,Aglaophamus paucilamellata
Genus,Amaeana,worms,129685,Animalia,Annelida,Polychaeta,Terebellida,Terebellidae,Amaeana,,Amaeana
Family,Ampharetidae,worms,981,Animalia,Annelida,Polychaeta,Terebellida,Ampharetidae,,,Ampharetidae
Unknown,Amphiglena,worms,129521,Animalia,Annelida,Polychaeta,Sabellida,Sabellidae,Amphiglena,,Amphiglena
Species,Amphinome rostrata,worms,129825,Animalia,Annelida,Polychaeta,Amphinomida,Amphinomidae,Amphinome,Amphinome rostrata,Amphinome rostrata
