intro_locality,intro_region
Irish Part Of The Irish Sea And St. George's Channel,NE Atlantic
Langebaan Bay,SE Atlantic
Port Elizaberth (Harbour),W Indian
United Kingdom Part Of The Celtic Sea,NE Atlantic
French Part Of The Bay Of Biscay,NE Atlantic
Finland,Baltic
False Bay (South Shetland Islands),South
Mossel Bay,W Indian
Knysna,W Indian
North Atlantic,NE Atlantic; NW Atlantic
Alexander Bay,SE Atlantic
Durban Bay,W Indian
Table Bay,SE Atlantic
Auckland,SW Pacific
United States Part Of The North Atlantic Ocean,NW Atlantic
Australian Exclusive Economic Zone,SW Pacific; South; E Indian
Spanish Part Of The Balearic Sea,Mediterranean
Canadian Part Of The Gulf Of St-Lawrence,NW Atlantic
United States Part Of The North Pacific Ocean,NW Pacific
China,NW Pacific
Canadian Part Of The North Atlantic Ocean,NW Atlantic
Japan,NW Pacific
Chile,SE Pacific
Australia,SW Pacific; South; E Indian
Australian Part Of The Tasman Sea,SW Pacific
Canada,NE Pacific; NW Atlantic
Japanese Part Of The Philippine Sea,NW Pacific
United Kingdom Part Of The North Sea,NE Atlantic
Germany,Baltic; NE Atlantic
United Kingdom Part Of The English Channel,NE Atlantic
Australian Part Of The Bass Strait,South
Irish Part Of The Celtic Sea,NE Atlantic
Dutch Part Of The North Sea,NE Atlantic
Mexican Part Of The North Pacific Ocean,NE Pacific
Brazil,SW Atlantic
South Atlantic,"SE Atlantic, SW Atlantic"
Hawaiian Part Of The North Pacific Ocean,NE Pacific
Swedish Part Of The Baltic Sea,Baltic
Black Sea,Black
Israeli Part Of The Mediterranean Sea - Eastern Basin,Mediterranean
Belgian Part Of The North Sea,NW Atlantic
Danish Part Of The Kattegat,NW Atlantic
Baltic Sea,Baltic
Belgian Exclusive Economic Zone,NW Atlantic
Aegean Sea,Mediterranean
Italian Part Of The Ligurian Sea,Mediterranean
Italian Part Of The Tyrrhenian Sea,Mediterranean
Swedish Part Of The Skagerrak,NW Atlantic
Mediterranean Sea - Eastern Basin,Mediterranean
Albania,Mediterranean
Greek Part Of The Ionian Sea,Mediterranean
German Part Of The North Sea,NW Atlantic
Egypt,Mediterranean; Red
Adriatic Sea,Mediterranean
Australian Part Of The Great Australian Bight,South
United States Exclusive Economic Zone,NE Pacific; NW Atlantic
Hout Bay,SE Atlantic
Belizean Part Of The Caribbean Sea,NW Atlantic
Brazilian Part Of The South Atlantic Ocean,SW Atlantic
Swedish Exclusive Economic Zone,Baltic; NE Atlantic
Sweden,Baltic; NE Atlantic
Swedish Part Of The Kattegat,NE Atlantic
Azores Part Of The North Atlantic Ocean,NE Atlantic
Canary Islands Part Of The North Atlantic Ocean,NE Atlantic
China Sea,NW Pacific
Scandinavia,NE Atlantic
Romanian Part Of The Black Sea,Black
Mediterranean Sea - Western Basin,Mediterranean
