"taxon_id","location_id","locality","occurrence_status","establishment_means","invasiveness","event_date","source","occurrence_remarks","country_code","scientific_name_id","accepted_name_usage_id","scientific_name","accepted_name_usage","taxonomic_status"
"100428","100428","Irish part of the Irish Sea and St. George's Channel","Established","Alien","Of concern","1960","Nehring, S.; Boestfleisch, C.; Buhmann, A.; Papenbrock, J. (2012). The North American toxic fungal pathogen G3 Claviceps purpurea (Fries) Tulasne is established in the German Wadden Sea. <em>BioInvasions Records.</em> 1(1): 5-10.","In the winter of 1960-1961, C. purpurea was detected in Townsend's cord-grass at Dublin Sites","IE","100428","100428","Claviceps purpurea","Claviceps purpurea","accepted"
"100471","100471","Ukraine","Reported","Alien","Uncertain","2001","Katsanevakis, S.; Bogucarskis, K.; Gatto, F.; Vandekerkhove, J.; Deriu, I.; Cardoso A.S. (2012). Building the European Alien Species Information Network (EASIN): a novel approach for the exploration of distributed alien species data. <em>BioInvasions Records.</em> 1: 235-245.",NA,NA,"100471","100471","Savoryella lignicola","Savoryella lignicola","accepted"
"100516","100516","Ukraine","Reported","Alien","Uncertain","2001","Katsanevakis, S.; Bogucarskis, K.; Gatto, F.; Vandekerkhove, J.; Deriu, I.; Cardoso A.S. (2012). Building the European Alien Species Information Network (EASIN): a novel approach for the exploration of distributed alien species data. <em>BioInvasions Records.</em> 1: 235-245.",NA,NA,"100516","100516","Cumulospora marina","Cumulospora marina","accepted"
"100872","100872","Atlantic Europe","present","Alien",NA,NA,"Streftaris, N.; Zenetos, A.; Papathanassiou, E. (2005). Globalisation in marine ecosystems: the story of non-indigenous marine species across European seas. <em>Oceanogr. Mar. Biol. Ann. Rev.</em> 43: 419-453.",NA,NA,"100872","100872","Diadumene cincta","Diadumene cincta","accepted"
"100872","100872","Mediterranean Sea","present","Alien",NA,NA,"Streftaris, N.; Zenetos, A.; Papathanassiou, E. (2005). Globalisation in marine ecosystems: the story of non-indigenous marine species across European seas. <em>Oceanogr. Mar. Biol. Ann. Rev.</em> 43: 419-453.",NA,NA,"100872","100872","Diadumene cincta","Diadumene cincta","accepted"
"100872","100872","North Sea","present","Alien",NA,NA,"Streftaris, N.; Zenetos, A.; Papathanassiou, E. (2005). Globalisation in marine ecosystems: the story of non-indigenous marine species across European seas. <em>Oceanogr. Mar. Biol. Ann. Rev.</em> 43: 419-453.",NA,NA,"100872","100872","Diadumene cincta","Diadumene cincta","accepted"
"100872","100872","Dutch part of the North Sea","Reported","Origin unknown","Uncertain","1925","Pax, F. (1936). Anthozoa. In: G. Grimpe & E. Wagler (eds.). Die Tierwelt der Nord- und Ostsee. Bd. IIIe.  Akad. Verlagsges., Becker & Erler, Leipzig. 317 pp.",NA,"NL","100872","100872","Diadumene cincta","Diadumene cincta","accepted"
"100872","100872","Italian part of the Adriatic Sea","Established","Alien","Not specified","1993","Birkemeyer, T. (1996). Aiptasiidae e Diadumenidae (Anthozoa, Actiniaria) del fouling in Laguna di Venezia. <em>Boll Mus civ St nat Venezia.</em> 46:63-85.",NA,"IT","100872","100872","Diadumene cincta","Diadumene cincta","accepted"
"100873","100873","German Bight","present","Alien",NA,NA,"Gollasch, S. & S. Nehring. (2006). National checklist for aquatic alien species in Germany. <em>Aquatic Invasions.</em> 1(4):245-269.",NA,NA,"100873","395099","Haliplanella luciae","Diadumene lineata","unaccepted"
"100906","100906","North Sea","present","Alien",NA,NA,"Streftaris, N.; Zenetos, A.; Papathanassiou, E. (2005). Globalisation in marine ecosystems: the story of non-indigenous marine species across European seas. <em>Oceanogr. Mar. Biol. Ann. Rev.</em> 43: 419-453.",NA,NA,"100906","100906","Nematostella vectensis","Nematostella vectensis","accepted"
"100906","100906","Canadian part of the Bay of Fundy","Reported","Alien","Not invasive","1965","Bailey, K.; Bleakney, J. S. (1966). First Canadian record of the brackish water anthozoan Nematostella vectensis Stephenson. <em>Canadian Field-Naturalist.</em> 80, 251-252.","Location : Minas Basin, in the Bay of Fundy, Nova Scotia","CA","100906","100906","Nematostella vectensis","Nematostella vectensis","accepted"
"100906","100906","United States part of the North Atlantic Ocean","Reported","Alien","Not invasive",NA,"Calder, Dale R. (1972) Phylum Cnidaria, Special Scientific Report, Virginia Institute of Marine Science 65: 97-102","Location : Spurwink River, near Portland, Maine (State)","US","100906","100906","Nematostella vectensis","Nematostella vectensis","accepted"
"100906","100906","United States part of the North Atlantic Ocean","Reported","Alien","Not invasive","1939","Crowell, S. (1946). A new sea anemone for Woods Hole, Massachusetts. <em>Journal of the Washington Academy of Sciences.</em> 36, 57-60.","Location : Woods Hole, Massachusetts (State)","US","100906","100906","Nematostella vectensis","Nematostella vectensis","accepted"
"100906","100906","United States part of the North Pacific Ocean","Reported","Alien","Not invasive","1946","Hand, C. (1957). Another sea anemone from California. <em>Journal of the Washington Academy of Sciences.</em> 47, 411-414.","Location : Alameda County, California<br/>Location : San Francisco Bay, California<br/>Year first introduced or recorded : Before 1973<br/>Location : San Francisco Bay, California<br/>Year first introduced or recorded : Before 1973<br/>Location : West coast: San Francisco Bay north to Puget Sound and the San Juan Islands, Washington; East coast: from North Carolina to Mississippi","US","100906","100906","Nematostella vectensis","Nematostella vectensis","accepted"
"100906","100906","United States part of the North Pacific Ocean","Reported","Alien","Not invasive",NA,"Hand, C.; Uhlinger, K. R. (1994). The Unique, Widely Distributed, Estuarine Sea Anemone, Nematostella vectensis Stephenson: A Review, New Facts, and Questions. Estuaries. 17(2): 501-508.","Location : Puget Sound, Washington (State)<br/>Year first introduced or recorded : Before 1973<br/>Location : San Juan Islands, Washington (State)<br/>Year first introduced or recorded : Before 1973<br/>Location : Spurwink River, near Portland, Maine (State)","US","100906","100906","Nematostella vectensis","Nematostella vectensis","accepted"
"100906","100906","United Kingdom","Reported","Alien","Not invasive",NA,"Sheader, M.; Suwailem, A. M.; Rowe, G. A. (1997). The anemone, Nematostella vectensis, in Britain: considerations for conservation management. <em>Aquatic Conservation: Marine and Freshwater Ecosystems.</em> 7(1): 13-25.","Location : Limited and localised distribution on the European coast (southeast England only, Norfolk to the Fleet).<br/>Location : Norfolk<br/>Location : Fleet<br/>Location : Isle of Wight, England",NA,"100906","100906","Nematostella vectensis","Nematostella vectensis","accepted"
"100906","100906","Brazil","Reported","Alien","Not invasive","2004","Silva, Janine F.; Lima, Carlos A. C.; Perez, Carlos D.; Gomes, Paula B. (2010) First record of the sea anemone Nematostella vectensis (Actiniaria: Edwardsiidae) in Southern Hemisphere waters, Zootaxa 2343: 66-68","Location : Recife",NA,"100906","100906","Nematostella vectensis","Nematostella vectensis","accepted"
