intro_db,db_id,intro_name,intro_locality,dr_id,intro_source,intro_status
wrims,100428,Claviceps purpurea,Irish part of the Irish Sea and St. George's Channel,814485,"Nehring, S.; Boestfleisch, C.; Buhmann, A.; Papenbrock, J. (2012). The North American toxic fungal pathogen G3 Claviceps purpurea (Fries) Tulasne is established in the German Wadden Sea. <em>BioInvasions Records.</em> 1(1): 5-10.",of concern
wrims,102075,Chelura terebrans,Langebaan Bay; Port Elizaberth (Harbour),887496; 887497,NA,invasive
wrims,102296,Gammarus tigrinus,United Kingdom part of the Celtic Sea; French part of the Bay of Biscay; Finland,816783; 819080; 819081,"Minchin, D.; Cook, E.; Clark, P. (2013). Alien species in British brackish and marine waters. <em>Aquatic Invasions.</em> 8(1): 3-19.; Piscart, C.; Maazouzi, C.; Marmonier, P. (2008). Range expansion of the North American alien amphipod Gammarus tigrinus Sexton, 1939 (Crustacea: Gammaridae) in Brittany, France. <em>Aquatic Invasions.</em> 3(4): 449-453.; Packalén, A.; Korpinen, S.; Lehtonen, K. K. (2008). The invasive amphipod species Gammarus tigrinus (Sexton 1939) can rapidly change littoral communities in the Gulf of Finland (Baltic Sea). <em>Aquatic Invasions.</em> 3(4): 405-412.",invasive
wrims,102438,Jassa slatteryi,Langebaan Bay; False Bay (South Shetland Islands); Mossel bay; Knysna,887614; 887615; 887617; 887618; 887619,NA,invasive
wrims,103217,Platorchestia platensis,Knysna,887954,NA,invasive
wrims,103552,Clavelina lepadiformis,Port Elizaberth (Harbour); Knysna; North Atlantic,892671; 892672; 818893,"Rius, M.; Clusella-Trullas, S.; McQuaid, C. D.; Navarro, R. A.; Griffiths, C. L.; Matthee, C. A.; Von der Heyden, S.; Turon, X. (2014). Range expansions across ecoregions: interactions of climate change, physiology and genetic diversity. <em>Global Ecology and Biogeography.</em> 23(1): 76-88.; Reinhardt, J. F.; Stefaniak, L. M.; Hudson, D. M.; Mangiafico, J.; Gladych, R.; Whitlatch, R. B. (2010). First record of the non-native light bulb tunicate Clavelina lepadiformis (Müller, 1776) in the northwest Atlantic. <em>Aquatic Invasions.</em> 5(2): 185-190.",invasive; of concern
wrims,103579,Diplosoma listerianum,Langebaan Bay; Alexander Bay; Durban Bay,892715; 892716; 892718; 892721,NA,invasive
wrims,103718,Ascidiella aspersa,Table Bay; Knysna; Auckland; United States part of the North Atlantic Ocean; Australian Exclusive Economic Zone,892666; 892667; 876698; 824289; 857572,"NA; Brine, O.; Hunt, L.; Costello, M. J. (2013). Marine biofouling on recreational boats on swing moorings and berths. <em>Management of Biological Invasions.</em> 4(4): 327-341.; Fofonoff, P.W.; Ruiz, G.M.; Steves, B.; Carlton, J.T. (2014). National Exotic Marine and Estuarine Species Information System (NEMESIS); Hayes, K.; Sliwa, C.; Migus, S.; McEnnulty, F.; Dunstan, P.; Heritagearkes, P. (2005). National priority pests. Part II, Ranking of Australian marine pests. Australian Government Department of the Environment and Heritage: Parkes. ISBN 1 876996 80 3. 94 pp.",invasive; of concern
wrims,103732,Ciona intestinalis,Spanish part of the Balearic Sea; Canadian part of the Gulf of St-Lawrence; United States part of the North Pacific Ocean; China; Canadian part of the North Atlantic Ocean; Japan; Chile; Australia; Australian part of the Tasman Sea,824563; 824564; 824565; 824566; 824576; 824577; 824578; 815841; 818889; 814458; 857440,"Fofonoff, P.W.; Ruiz, G.M.; Steves, B.; Carlton, J.T. (2014). National Exotic Marine and Estuarine Species Information System (NEMESIS); Carlton, J.T. (1979). History, biogeography, and ecology of the introduced marine and estuarine invertebrates of the Pacific Coast of North America. Ph.D. dissertation, University of California, Davis. Pp. 1-904.; Morton, Brian (1987) Recent marine introductions into Hong Kong, Bulletin of Marine Science 41: 503-513; Carver, C. E.; Chisholm, A.; Mallet, A. L. (2003). Strategies to mitigate the impacts of Ciona intestinalis biofouling on shellfish production. <em>Journal of Shellfish Research.</em> 22: 521-631.; Sargent, P.; Wells, T.; Matheson, K.; McKenzie, C.; Deibel, D. (2013). First record of vase tunicate, Ciona intestinalis (Linnaeus, 1767) in coastal Newfoundland waters. <em>BioInvasions Records.</em> 2(2): 89-98.; Hayes, K.; Sliwa, C.; Migus, S.; McEnnulty, F.; Dunstan, P.; Heritagearkes, P. (2005). National priority pests. Part II, Ranking of Australian marine pests. Australian Government Department of the Environment and Heritage: Parkes. ISBN 1 876996 80 3. 94 pp.",invasive; of concern
wrims,103758,Perophora japonica,Japan,816146,"Fofonoff, P.W.; Ruiz, G.M.; Steves, B.; Carlton, J.T. (2014). National Exotic Marine and Estuarine Species Information System (NEMESIS)",invasive
wrims,103788,Molgula manhattensis,United States part of the North Pacific Ocean; Australian Exclusive Economic Zone,822844; 825364; 825365; 825367; 857556,"Boersma, P. Dee; Reichard, Sarah H.; Van Buren, A. N. (2006). Invasive Species in the Pacific Northwest. Seattle, WA : University of Washington Press, ©2006.; Lambert, C. C.; Lambert, G. (1998). Non-indigenous ascidians in southern California harbors and marinas. <em>Marine Biology.</em> 130: 675-688.; Fofonoff, P.W.; Ruiz, G.M.; Steves, B.; Carlton, J.T. (2014). National Exotic Marine and Estuarine Species Information System (NEMESIS); Cohen, A. N.; Carlton, J. T. (1995). Nonindigenous aquatic species in a United States estuary: A case study of the biological invasions of the San Francisco Bay and delta. A report for the United States Fish and Wildlife Service, Washington D.C. and the National Sea Grant College Program Connecticut Sea Grant.; Hayes, K.; Sliwa, C.; Migus, S.; McEnnulty, F.; Dunstan, P.; Heritagearkes, P. (2005). National priority pests. Part II, Ranking of Australian marine pests. Australian Government Department of the Environment and Heritage: Parkes. ISBN 1 876996 80 3. 94 pp.",invasive; of concern
wrims,103862,Botryllus schlosseri,United States part of the North Atlantic Ocean; Canada; United States part of the North Pacific Ocean; Durban Bay; Alexander Bay,824458; 824058; 824060; 824062; 892668; 892669,"U.S. National Museum of Natural History. (2002-2013). Invertebrate zoology collections database.; Locke, A.; Hanson, J. M.; Ellis, K. M.; Thompson, J.; Rochette, R. (2007). Invasion of the southern Gulf of St. Lawrence by the clubbed tunicate (Styela clava Herdman): Potential mechanisms for invasions of Prince Edward Island estuaries. Journal of Experimental Marine Biology and Ecology. 342(1): 69-77.; Fofonoff, P.W.; Ruiz, G.M.; Steves, B.; Carlton, J.T. (2014). National Exotic Marine and Estuarine Species Information System (NEMESIS); Carlton, J.T. (1979). History, biogeography, and ecology of the introduced marine and estuarine invertebrates of the Pacific Coast of North America. Ph.D. dissertation, University of California, Davis. Pp. 1-904.; NA",invasive
wrims,103895,Polyandrocarpa zorritensis,United States part of the North Pacific Ocean; Japanese part of the Philippine Sea,825602; 868469,"Lambert, C. C.; Lambert, G. (1998). Non-indigenous ascidians in southern California harbors and marinas. <em>Marine Biology.</em> 130: 675-688.; Nishikawa, T.; Kajiwara, K.; Kawamura, K. (1993). Probable introduction of <i>Polyandrocarpa zorritensis</i> (Van Name) to Kitakyusyu and Kochi, Japan. <em>Zoological Science.</em> 10: 176.",invasive
wrims,103929,Styela clava,Auckland; Canada; United States part of the North Pacific Ocean; United Kingdom part of the North Sea; Germany; United Kingdom part of the Celtic Sea; Canadian part of the Gulf of St-Lawrence; United Kingdom part of the English Channel; Australian part of the Bass Strait; Irish part of the Celtic Sea; Dutch part of the North Sea,876661; 826674; 826675; 857269; 825795; 825797; 825799; 826465; 826466; 819306; 819310; 816215; 816224; 817602; 857446; 819312; 817599,"Hillock, K. A.; Costello, M. J. (2013). Tolerance of the invasive tunicate Styela clava to air exposure. <em>Biofouling.</em> 29(10): 1181-1187.; Locke, A.; Hanson, J. M.; Ellis, K. M.; Thompson, J.; Rochette, R. (2007). Invasion of the southern Gulf of St. Lawrence by the clubbed tunicate (Styela clava Herdman): Potential mechanisms for invasions of Prince Edward Island estuaries. Journal of Experimental Marine Biology and Ecology. 342(1): 69-77.; Lambert, C. C.; Lambert, G. (1998). Non-indigenous ascidians in southern California harbors and marinas. <em>Marine Biology.</em> 130: 675-688.; Minchin, D.; Cook, E.; Clark, P. (2013). Alien species in British brackish and marine waters. <em>Aquatic Invasions.</em> 8(1): 3-19.; Berman, J.; Harris, L.; Lambert, W.; Buttrick, M.; Dufresne, M. (1992). Recent Invasions of the Gulf of Maine: Three Contrasting Ecological Histories. <em>Conservation Biology.</em> 6(3): 435-441.; Carlton, J.T. (1979). History, biogeography, and ecology of the introduced marine and estuarine invertebrates of the Pacific Coast of North America. Ph.D. dissertation, University of California, Davis. Pp. 1-904.; Fofonoff, P.W.; Ruiz, G.M.; Steves, B.; Carlton, J.T. (2014). National Exotic Marine and Estuarine Species Information System (NEMESIS); U.S. National Museum of Natural History. (2002-2013). Invertebrate zoology collections database.; Cohen, A. N.; Carlton, J. T. (1995). Nonindigenous aquatic species in a United States estuary: A case study of the biological invasions of the San Francisco Bay and delta. A report for the United States Fish and Wildlife Service, Washington D.C. and the National Sea Grant College Program Connecticut Sea Grant.; Krone, R.; Wanke, W.; Schröder, A. (2007). A new record of Styela clava Herdman, 1882 (Urochordata, Ascidiacea) from the central German Bight. <em>Aquatic Invasions.</em> 2(4): 442-444.; Hayes, K.; Sliwa, C.; Migus, S.; McEnnulty, F.; Dunstan, P.; Heritagearkes, P. (2005). National priority pests. Part II, Ranking of Australian marine pests. Australian Government Department of the Environment and Heritage: Parkes. ISBN 1 876996 80 3. 94 pp.; Nunn, J. D.; Minchin, D. (2009). Further expansions of the Asian tunicate Styela clava Herdman 1882 in Ireland. <em>Aquatic Invasions.</em> 4(4): 591-596.",invasive; of concern
wrims,103936,Styela plicata,United States part of the North Pacific Ocean; United States part of the North Atlantic Ocean; Spanish part of the Balearic Sea; Mexican part of the North Pacific Ocean; Japan; China; Brazil; Durban Bay; Mossel bay; Australian Exclusive Economic Zone,826481; 825832; 825833; 825835; 825837; 825838; 825839; 825848; 825849; 825850; 892728; 892729; 857587,"Rodriguez, L. F.; Ibarra-Obando, S. E. (2008). Cover and Colonization of Commercial Oyster (Crassostrea gigas) Shells by Fouling Organisms in San Quintin Bay, Mexico. Journal of Shellfish Research. 27(2): 337-343.; Fofonoff, P.W.; Ruiz, G.M.; Steves, B.; Carlton, J.T. (2014). National Exotic Marine and Estuarine Species Information System (NEMESIS); Lambert, C. C.; Lambert, G. (1998). Non-indigenous ascidians in southern California harbors and marinas. <em>Marine Biology.</em> 130: 675-688.; Lambert, C.; Lambert, G. (2003). Persistence and differential distribution of nonindigenous ascidians in harbors of the Southern California Bight. <em>Marine Ecology Progress Series.</em> 259: 145-161.; Huang, Zongguo (Ed.) (2001) Marine species and their distribution in China's Seas., Krieger, Malabar, FL. Pp.; NA; Hayes, K.; Sliwa, C.; Migus, S.; McEnnulty, F.; Dunstan, P.; Heritagearkes, P. (2005). National priority pests. Part II, Ranking of Australian marine pests. Australian Government Department of the Environment and Heritage: Parkes. ISBN 1 876996 80 3. 94 pp.",invasive; of concern
wrims,104873,Eurytemora americana,South Atlantic,816711,"Molnar, J. L.; Gamboa, R. L.; Revenga, C.; Spalding, M. D. (2008). Assessing the global threat of invasive species to marine biodiversity. <em>Frontiers in Ecology and the Environment.</em> 6(9): 485-492.",invasive
wrims,106211,Balanus amphitrite,Hawaiian part of the North Pacific Ocean; Australian Exclusive Economic Zone,822561; 857451,"Eldredge, L.G.; Smith, C.M. (2001). A Guidebook of Introduced Marine Species in Hawai'i. <em>Bishop Museum Technical Report.</em> 21: A1-A54; B1-B60 p.; Hayes, K.; Sliwa, C.; Migus, S.; McEnnulty, F.; Dunstan, P.; Heritagearkes, P. (2005). National priority pests. Part II, Ranking of Australian marine pests. Australian Government Department of the Environment and Heritage: Parkes. ISBN 1 876996 80 3. 94 pp.",invasive; of concern
wrims,106218,Balanus improvisus,Swedish part of the Baltic Sea,857964,Swedish AquaAliens Research Programme (2006). Alien Species in Swedish Sea Areas / Frammande Arter / Svenska Hav - Sweden.,of concern
wrims,106223,Balanus trigonus,Australian Exclusive Economic Zone,857574,"Hayes, K.; Sliwa, C.; Migus, S.; McEnnulty, F.; Dunstan, P.; Heritagearkes, P. (2005). National priority pests. Part II, Ranking of Australian marine pests. Australian Government Department of the Environment and Heritage: Parkes. ISBN 1 876996 80 3. 94 pp.",of concern
wrims,106225,Megabalanus tintinnabulum,Australian Exclusive Economic Zone,857555,"Hayes, K.; Sliwa, C.; Migus, S.; McEnnulty, F.; Dunstan, P.; Heritagearkes, P. (2005). National priority pests. Part II, Ranking of Australian marine pests. Australian Government Department of the Environment and Heritage: Parkes. ISBN 1 876996 80 3. 94 pp.",of concern
wrims,106362,Beroe ovata,Black Sea,814308,"Molnar, J. L.; Gamboa, R. L.; Revenga, C.; Spalding, M. D. (2008). Assessing the global threat of invasive species to marine biodiversity. <em>Frontiers in Ecology and the Environment.</em> 6(9): 485-492.",invasive
